Year,sigName,합계,합계,합계,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,자연공원,자연공원,기타공원,기타공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,자연공원,기타공원,도시공원,도시공원,도시공원,도시공원,계,계,계,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원
Year,sigName,합계,합계,합계,계,계,계,도시자연공원,도시자연공원,도시자연공원,근린공원,근린공원,근린공원,어린이공원,어린이공원,묘지공원,묘지공원,자연공원,자연공원,기타공원,기타공원,어린이공원,체육공원,체육공원,소공원,소공원,역사공원,역사공원,자연공원,기타공원,문화공원,문화공원,수변공원,수변공원,계,계,계,소계,소계,소계,생태공원,생태공원,가로공원,가로공원
Year,sigName,공원수,(중복),면적,공원수,(중복),면적,공원수,(중복),면적,공원수,(중복),면적,공원수,면적,공원수,면적,공원수,면적,공원수,면적,(중복),공원수,면적,공원수,면적,공원수,면적,(중복),(중복),공원수,면적,공원수,면적,공원수,(중복),면적,공원수,(중복),면적,공원수,면적,공원수,면적
1993,합계,"1,351",22,"150,356.0","1,333",22,"103,201.0",23,9,"72,110.0",223,13,"26,455.0","1,083","1,646.0",4,"2,990.0",1,"39,710.0",17,"7,445.0",,,,,,,,,,,,,,,,,,,,,,,
1993,종로구,46,-,"5,947.0",46,-,"5,947.0",3,-,"3,688.0",13,-,"2,183.0",30,76,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,
1993,중구,26,2,272,26,2,272,-,-,-,5,2,241,21,31,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,
1993,용산구,23,1,512,22,1,467,-,-,-,4,1,428,18,39,-,-,-,-,1,45,,,,,,,,,,,,,,,,,,,,,,,
1993,성동구,78,1,"2,718.0",78,1,"2,718.0",-,1,"2,253.0",3,-,376,75,89,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,
1993,동대문구,32,-,764,32,-,764,-,-,-,6,-,726,26,38,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,
1993,중랑구,39,-,"4,647.0",39,-,"4,647.0",1,-,"2,799.0",1,-,978,36,37,1,833,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,
1993,성북구,18,5,"4,006.0",18,5,"4,006.0",1,1,"2,496.0",2,4,"1,483.0",15,27,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,
1993,도봉구,72,1,"2,458.0",72,1,"2,458.0",-,1,138,4,-,"2,226.0",68,94,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,
1993,노원구,103,1,"13,897.0",102,1,"13,736.0",2,-,"12,056.0",19,1,"1,534.0",81,146,-,-,-,-,1,161,,,,,,,,,,,,,,,,,,,,,,,
1993,은평구,52,1,"4,204.0",52,1,"4,204.0",3,-,"2,340.0",8,1,"1,820.0",41,44,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,
1993,서대문구,44,2,"4,524.0",44,2,"4,524.0",1,2,"3,265.0",3,-,"1,207.0",40,52,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,
1993,마포구,48,-,281,48,-,281,-,-,-,5,-,220,42,48,1,13,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,
1993,양천구,84,1,"2,146.0",84,1,"2,146.0",-,1,"1,003.0",16,-,"1,032.0",68,111,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,
1993,강서구,116,-,"2,474.0",116,-,"2,474.0",-,-,-,16,-,"2,331.0",100,143,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,
1993,구로구,70,2,"4,524.0",69,2,"4,497.0",2,1,"3,660.0",6,1,771,61,66,-,-,-,-,1,27,,,,,,,,,,,,,,,,,,,,,,,
1993,영등포구,21,-,167,21,-,167,-,-,-,4,-,111,17,56,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,
1993,동작구,34,1,"3,352.0",34,1,"3,352.0",-,-,-,6,1,"1,179.0",26,29,2,"2,144.0",-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,
1993,관악구,73,2,"10,899.0",73,2,"10,899.0",1,-,"10,432.0",3,2,397,69,70,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,
1993,서초구,108,1,"14,721.0",108,1,"14,721.0",5,1,"13,018.0",18,-,"1,490.0",85,213,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,
1993,강남구,79,1,"4,469.0",79,1,"4,469.0",1,1,"2,450.0",28,-,"1,946.0",50,73,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,
1993,송파구,107,-,"1,835.0",107,-,"1,835.0",-,-,-,38,-,"1,737.0",69,98,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,
